Ticker,model,nobs,r2,adj_r2,lb_pval_L12,lb_pval_L24,bg_pval,arch_lm_pval,lb_sq_pval_L24
AMZN,UNI(normalized_AINI),536.0,0.000930908525467844,-0.000940007376169838,0.23557264130703534,0.32748733665418345,0.14947798707064483,5.062316097693012e-05,0.0006854511668699323
ARKQ,UNI(EMA_02),536.0,0.002113357396257398,0.000244655818347872,0.09058130778920791,0.0440824031004943,0.15819042038545453,3.97136267122461e-08,2.8618625261802224e-09
ARKQ,UNI(EMA_08),536.0,0.0012338377128792155,-0.0006365109056358786,0.09018286727322498,0.037601093722068164,0.1540520089656573,1.2622129373891627e-07,8.79398621048838e-09
ARKQ,UNI(normalized_AINI),536.0,0.0010096069849999667,-0.00086116154124527,0.09287601896924617,0.03766515426653499,0.1575204866059882,1.4811415484039658e-07,1.0210737831269449e-08
AVGO,UNI(EMA_02),536.0,6.910319267805498e-06,-0.001865735916089184,0.037766605254301144,0.20208796913440347,0.028886397119896476,0.2021399159298825,0.324444707637822
AVGO,UNI(EMA_08),536.0,0.00012724533661268023,-0.0017451755522699397,0.038932718621618664,0.20317585640398086,0.029002103273475084,0.20452859323111477,0.3258534467412165
AVGO,UNI(normalized_AINI),536.0,0.00010154733645073577,-0.0017709216760277702,0.03890890247993109,0.20248983181128435,0.028989363653052654,0.20442767629444356,0.3260268226899792
BOTZ,UNI(EMA_02),536.0,0.0009333568483415045,-0.0009375544684218085,0.8481241629227281,0.6099763952812729,0.8225036238424549,2.1283527823330406e-09,5.225927000870272e-09
BOTZ,UNI(EMA_08),536.0,9.380274335057948e-11,-0.0018726590820514755,0.842725023200752,0.6285786795903767,0.8112260879085393,8.231565240707583e-10,1.89873118690095e-09
BOTZ,UNI(normalized_AINI),536.0,5.374763365373347e-06,-0.001867274347564507,0.8410793415210814,0.6263392227569402,0.808090247499817,8.402463082730062e-10,1.933734382105835e-09
GOOGL,UNI(EMA_02),536.0,0.01896888601304847,0.017131749095469995,0.3878355415878165,0.31192165506602676,0.47770564973142005,0.9201302196405113,0.999288852279491
GOOGL,UNI(EMA_08),536.0,0.010412497893436679,0.008559337777132359,0.373996941060813,0.2752681092566093,0.48051485538191685,0.9508691007214036,0.9997469746314357
GOOGL,UNI(normalized_AINI),536.0,0.007679905497880224,0.005821628167351989,0.3758105636660939,0.26800400136608454,0.4865399853922653,0.9628766392507244,0.9998335086416403
IRBO,UNI(EMA_02),536.0,0.00015273617229538683,-0.0017196369809397982,0.465179613995097,0.07481284236734538,0.5375970871299037,3.643579427794762e-08,7.365394384688117e-11
IRBO,UNI(EMA_08),536.0,4.629226680263887e-05,-0.0018262802195889716,0.46528634582492767,0.07638850043402985,0.5382119269599419,2.789148267625555e-08,5.1490613226506104e-11
IRBO,UNI(normalized_AINI),536.0,5.963183195134558e-05,-0.0018129156739812302,0.46531741418441386,0.07686959857963098,0.5387122197818353,2.715728994584529e-08,5.06413278203879e-11
META,UNI(EMA_02),536.0,0.0016506230798354338,-0.00021894504173780582,0.8168099862404954,0.858012049142928,0.8598507463445825,0.918030184327825,0.9994407852395554
META,UNI(EMA_08),536.0,0.0024554738618856042,0.0005874129515146542,0.8046588136646922,0.8492259146995982,0.8496153402929881,0.9093040510298417,0.9992895326467439
META,UNI(normalized_AINI),536.0,0.0026939429005419235,0.0008263285614045213,0.8031012248041504,0.8514835904913836,0.8479253591660179,0.9037738207065193,0.9991886717111305
MSFT,UNI(EMA_02),536.0,0.0010974229797446888,-0.0007731810970721398,0.7256713095244328,0.49959284655627945,0.6961482778524826,0.9221496808773197,0.9781339421966868
