Ticker,AINI_variant,Year,Direction,A2R_beta_const,A2R_beta_ret_1,A2R_beta_ctrl_n_articles_lag1,A2R_beta_x_1,p_x,N_obs,N_boot,N_boot_valid,F_stat,df_num,df_den,Original_F_pval,Empirical_F_pval,r2_u,adj_r2_u,R2A_beta_const,R2A_beta_x_1,R2A_beta_ctrl_n_articles_lag1,R2A_beta_ret_1,BH_reject_F,BH_corr_F_pval,BH_reject_F_HC3,BH_corr_F_pval_HC3,A2R_beta_ctrl_n_articles_lag2,A2R_beta_x_2,R2A_beta_x_2,R2A_beta_ctrl_n_articles_lag2,A2R_beta_ctrl_n_articles_lag3,A2R_beta_x_3,R2A_beta_x_3,R2A_beta_ctrl_n_articles_lag3
ROBO,EMA_02,2025,RET_to_AINI,,,,,1,94,1,1,1.6420251305973748,1,90,0.20333954099244111,,0.7976382210060693,0.7908928283729383,-0.0022510482866631683,0.8841535948777473,-0.00023638754015365887,0.1103636610343986,False,,False,0.20333954099244111,,,,,,,,
ROBO,EMA_08,2025,AINI_to_RET,0.003587130851563947,-0.09553948784129396,-0.00026624655004736555,-0.03967480192206009,1,96,1,1,2.451525356012086,1,92,0.1208440677189933,,0.028592893901865923,-0.0030834247752471455,,,,,False,,False,0.1220821707779534,,,,,,,,
ROBO,EMA_08,2025,RET_to_AINI,,,,,1,94,1,1,1.6464208034231047,1,90,0.2027411274020352,,0.4144852606256605,0.39496810264651583,-0.04790729222114826,0.6642658462924016,0.00036600983529034155,0.42547066478477413,False,,False,0.20333954099244111,,,,,,,,
ROBO,normalized_AINI,2025,AINI_to_RET,0.0035067781300215928,-0.09765744694987528,-0.00024898104053352576,-0.034299415966294856,1,96,1,1,2.435068902814374,1,92,0.12208217077795121,,0.02729549393467423,-0.004423131263108004,,,,,False,,False,0.1220821707779534,,,,,,,,
ROBO,normalized_AINI,2025,RET_to_AINI,,,,,1,94,1,1,1.8268358197914463,1,90,0.1798891419846768,,0.26058570859993946,0.23593856555327075,-0.0607960972596797,0.5230752553369233,0.00030039650517886773,0.5671466352277059,False,,False,0.20333954099244111,,,,,,,,
ROBO,normalized_AINI_z,2025,AINI_to_RET,0.007218442864605665,-0.09765744694987588,-0.00024898104053351785,-0.0027462176498997464,1,96,1,1,2.4350689028143524,1,92,0.1220821707779534,,0.027295493934674453,-0.004423131263107782,,,,,False,,False,0.1220821707779534,,,,,,,,
ROBO,normalized_AINI_z,2025,RET_to_AINI,,,,,1,94,1,1,1.8268358197915002,1,90,0.17988914198467226,,0.26058570859993935,0.23593856555327053,-0.1147344869885426,0.5230752553369227,0.003751860194448514,7.083487485512907,False,,False,0.20333954099244111,,,,,,,,
TSLA,EMA_02,2025,AINI_to_RET,0.035991928232982154,-0.09379679153641454,-0.000975479392619596,0.06348595777963936,1,96,1,1,0.3756382842973608,1,92,0.5414589801919966,,0.04185208584748579,0.010608132125121239,,,,,False,,False,0.6111537546232817,,,,,,,,
TSLA,EMA_02,2025,RET_to_AINI,,,,,1,94,1,1,8.09878346979901,1,90,0.0054848150680252596,,0.8033615599266335,0.7968069452575213,-0.003108163311489091,0.874904929058278,-0.0002332493893960942,0.07462268219497557,False,,True,0.021939260272101038,,,,,,,,
TSLA,EMA_08,2025,AINI_to_RET,0.03305155104535534,-0.0929020586635235,-0.001162885774314642,-0.03120134502399831,1,96,1,1,0.2602740742849664,1,92,0.6111537546232817,,0.041271592300418214,0.010008709440649355,,,,,False,,False,0.6111537546232817,,,,,,,,
TSLA,EMA_08,2025,RET_to_AINI,,,,,1,94,1,1,5.206465415462898,1,90,0.024861210096361414,,0.4381156141275129,0.4193861345984299,-0.04961716895421038,0.6549277647038183,0.0004039473504064528,0.2765953476427554,False,,True,0.03241494405203808,,,,,,,,
