Measure,Period,ADF_stat,ADF_p,PP_stat,PP_p,KPSS_stat,KPSS_p,agree_stationarity,error
w0_normalized_AINI_z,2023,-17.83442766034186,3.123996198677096e-30,-18.069107507023116,2.6074452886961664e-30,0.21000519999136316,0.1,True,
w0_normalized_AINI_z,2023-2024,-8.151649894171431,9.659990798350379e-13,-26.189281885039808,0.0,0.2410645651381502,0.1,True,
w0_normalized_AINI_z,2023-2025,-7.144256876034406,3.263706993571507e-10,-28.261342549116364,0.0,0.28749752875536877,0.1,True,
w0_normalized_AINI_z,2024,-18.09994706352613,2.555365062806942e-30,-18.499946035632266,2.1212318087472156e-30,0.16369681815017298,0.1,True,
w0_normalized_AINI_z,2024-2025,-5.980396996025937,1.8444193470911547e-07,-21.927927285876954,0.0,0.3036097487675558,0.1,True,
w0_normalized_AINI_z,2025,-2.7287396995589686,0.06919570792244441,-10.802194983545313,2.0045954752830252e-19,1.3554037723645418,0.01,False,
w0_normalized_AINI_z,Full,-7.144256876034406,3.263706993571507e-10,-28.261342549116364,0.0,0.28749752875536877,0.1,True,
w1_EMA_02,2023,-5.611347202648904,1.2015145635310507e-06,-5.466258836343721,2.455021803122301e-06,0.21480617028648555,0.1,True,
w1_EMA_02,2023-2024,-7.753739950411166,9.86284445547428e-12,-7.856738911844436,5.417503721164346e-12,0.11079773467137552,0.1,True,
w1_EMA_02,2023-2025,-5.943445155104702,2.2327826217789735e-07,-5.93766607874351,2.3003623587709284e-07,0.11773632816766869,0.1,True,
w1_EMA_02,2024,-4.668307120264287,9.647803494013716e-05,-5.323082310737035,4.9039382355924255e-06,0.27104583461769594,0.1,True,
w1_EMA_02,2024-2025,-3.888706451635965,0.0021195515060543255,-3.928603890973631,0.0018341374744032415,0.23045805110260176,0.1,True,
w1_EMA_02,2025,-2.192081813709789,0.20913184351233594,-1.5734183920473979,0.49693108027811,0.9557262327185931,0.01,False,
w1_EMA_02,Full,-5.943445155104702,2.2327826217789735e-07,-5.93766607874351,2.3003623587709284e-07,0.11773632816766869,0.1,True,
w1_EMA_08,2023,-13.313404200939452,6.676540478203948e-25,-13.14202212711595,1.4229703236583863e-24,0.14941352848904743,0.1,True,
w1_EMA_08,2023-2024,-20.16128545688886,0.0,-20.75447318373147,0.0,0.0990320967606442,0.1,True,
w1_EMA_08,2023-2025,-7.302803493026904,1.325032685325952e-10,-22.26964899204901,0.0,0.1393079483568403,0.1,True,
w1_EMA_08,2024,-8.210402198625864,6.843051761934968e-13,-16.347366278241708,2.9554094828849984e-29,0.23840196369443348,0.1,True,
w1_EMA_08,2024-2025,-4.870300905689281,3.982621367501495e-05,-16.896611595657333,1.0353199875579498e-29,0.2506001357310158,0.1,True,
w1_EMA_08,2025,-2.7329523014367796,0.06850758856916819,-6.6087391824532515,6.456969066236716e-09,0.9147921703288494,0.01,False,
w1_EMA_08,Full,-7.302803493026904,1.325032685325952e-10,-22.26964899204901,0.0,0.1393079483568403,0.1,True,
w1_normalized_AINI,2023,-16.276028442096965,3.449726901504908e-29,-16.30109070492438,3.2657296419581334e-29,0.1342514680985541,0.1,True,
w1_normalized_AINI,2023-2024,-24.797594074442042,0.0,-25.01970793464518,0.0,0.10273957336206312,0.1,True,
w1_normalized_AINI,2023-2025,-7.697700117162225,1.3653087049559733e-11,-26.94296756219495,0.0,0.15094327165561272,0.1,True,
w1_normalized_AINI,2024,-9.109620822047196,3.4275499136885936e-15,-19.397897302426404,0.0,0.2435433353861115,0.1,True,
w1_normalized_AINI,2024-2025,-5.188182946090813,9.293853578779521e-06,-21.06133781674512,0.0,0.26610060811989505,0.1,True,
w1_normalized_AINI,2025,-2.406795067572385,0.13982772882725508,-8.705596807343182,3.7077273474608366e-14,0.9916249786494817,0.01,False,
w1_normalized_AINI,Full,-7.697700117162225,1.3653087049559733e-11,-26.94296756219495,0.0,0.15094327165561272,0.1,True,
w1_normalized_AINI_z,2023,-16.276028442096973,3.4497269015048076e-29,-16.30109070492438,3.2657296419581334e-29,0.13425146809855434,0.1,True,
